day,views
2016-08-02,8291
2016-08-03,18927
2016-08-04,12782
2016-08-05,9473
2016-08-06,7570
2016-08-07,13610
2016-08-08,12052
2016-08-09,11249
2016-08-10,9015
2016-08-11,8400
2016-08-12,7756
2016-08-13,6851
2016-08-14,6860
2016-08-15,7890
2016-08-16,8422
2016-08-17,8694
2016-08-18,10122
2016-08-19,8392
2016-08-20,6836
2016-08-21,7330
2016-08-22,8395
2016-08-23,8897
2016-08-24,9239
2016-08-25,8900
2016-08-26,8442
2016-08-27,7126
2016-08-28,7543
2016-08-29,8722
2016-08-30,8666
2016-08-31,9172
2016-09-01,8596
2016-09-02,8115
2016-09-03,7347
2016-09-04,7896
2016-09-05,9039
2016-09-06,9374
2016-09-07,9426
2016-09-08,10042
2016-09-09,9121
2016-09-10,8218
2016-09-11,7890
2016-09-12,10175
2016-09-13,11035
2016-09-14,10442
2016-09-15,10277
2016-09-16,10414
2016-09-17,9034
2016-09-18,9227
2016-09-19,9584
2016-09-20,9873
2016-09-21,9285
2016-09-22,9903
2016-09-23,8100
2016-09-24,8840
2016-09-25,7642
2016-09-26,9531
2016-09-27,8507
2016-09-28,8127
2016-09-29,8014
2016-09-30,8491
2016-10-01,7590
2016-10-02,7652
2016-10-03,8347
2016-10-04,9345
2016-10-05,9086
2016-10-06,8649
2016-10-07,8874
2016-10-08,7025
2016-10-09,7078
2016-10-10,7981
2016-10-11,9581
2016-10-12,10134
2016-10-13,8788
2016-10-14,8502
2016-10-15,6829
2016-10-16,7378
2016-10-17,9038
2016-10-18,9037
2016-10-19,8766
2016-10-20,7861
2016-10-21,9966
2016-10-22,6727
2016-10-23,8054
2016-10-24,8868
2016-10-25,9923
2016-10-26,8501
2016-10-27,8667
2016-10-28,14518
2016-10-29,10900
2016-10-30,8571
2016-10-31,12082
2016-11-01,10272
2016-11-02,10374
2016-11-03,9857
2016-11-04,9168
2016-11-05,12204
2016-11-06,10908
2016-11-07,11614
2016-11-08,11807
2016-11-09,12959
2016-11-10,11493
2016-11-11,10046
2016-11-12,8957
2016-11-13,9805
2016-11-14,21607
2016-11-15,11771
2016-11-16,12522
2016-11-17,11377
2016-11-18,10650
2016-11-19,8894
2016-11-20,10466
2016-11-21,11120
2016-11-22,11421
2016-11-23,10960
2016-11-24,11876
2016-11-25,10238
2016-11-26,8430
2016-11-27,9523
2016-11-28,12311
2016-11-29,14544
2016-11-30,12018
2016-12-01,10921
2016-12-02,11564
2016-12-03,8544
2016-12-04,8833
2016-12-05,10512
2016-12-06,11527
2016-12-07,10847
2016-12-08,10893
2016-12-09,9588
2016-12-10,8835
2016-12-11,8676
2016-12-12,10465
2016-12-13,11745
2016-12-14,11373
2016-12-15,10924
2016-12-16,10416
2016-12-17,8770
2016-12-18,9127
2016-12-19,11821
2016-12-20,11646
2016-12-21,12246
