day,metres
2017-10-04,1.2004166666666667
2017-10-05,0.84666666666666668
2017-10-06,1.1029166666666665
2017-10-07,1.665
2017-10-08,2.8004166666666666
2017-10-09,2.4691666666666667
2017-10-10,1.6375
2017-10-11,2.1537500000000001
2017-10-12,2.4704166666666665
2017-10-13,2.1304166666666666
2017-10-14,1.8399999999999999
2017-10-15,1.5225
2017-10-16,1.0225
2017-10-17,1.1320833333333333
2017-10-18,1.5145833333333334
2017-10-19,1.3966666666666665
2017-10-20,2.9775000000000005
2017-10-21,3.2795833333333331
2017-10-22,2.4620833333333336
2017-10-23,2.4266666666666667
2017-10-24,2.5458333333333334
2017-10-25,1.9279166666666667
2017-10-26,1.9383333333333332
2017-10-27,1.4220833333333334
2017-10-28,2.0908333333333333
2017-10-29,2.4624999999999999
2017-10-30,2.2200000000000002
2017-10-31,1.3620833333333333
2017-11-01,1.0875000000000001
2017-11-02,0.96708333333333341
2017-11-03,0.90375000000000005
2017-11-04,1.19875
2017-11-05,1.28
2017-11-06,1.1025
2017-11-07,1.1725000000000001
2017-11-08,0.84541666666666659
2017-11-09,2.5150000000000001
2017-11-10,2.1120833333333331
2017-11-11,1.7758333333333332
2017-11-12,1.4024999999999999
2017-11-13,1.1263636363636365
2017-11-14,2.2429166666666664
2017-11-15,1.78
2017-11-16,2.0845833333333332
2017-11-17,1.7670833333333336
2017-11-18,1.3016666666666665
2017-11-19,0.94708333333333339
2017-11-20,0.86416666666666675
2017-11-21,1.1854166666666666
2017-11-22,1.5225
2017-11-23,1.89625
2017-11-24,1.6720833333333334
2017-11-25,1.3574999999999999
2017-11-26,1.4895833333333333
2017-11-27,2.8020833333333335
2017-11-28,2.8033333333333332
2017-11-29,2.73
2017-11-30,3.3465217391304347
2017-12-01,2.7050000000000001
2017-12-02,2.6995833333333334
2017-12-03,2.6226086956521741
2017-12-04,2.5620833333333333
2017-12-05,1.5929166666666665
2017-12-06,1.3637499999999998
2017-12-07,1.1404166666666666
2017-12-08,1.03
2017-12-09,1.3245833333333332
2017-12-10,1.4366666666666665
2017-12-11,1.4791666666666667
2017-12-12,1.6612499999999999
2017-12-13,2.1287500000000001
2017-12-14,2.0066666666666664
2017-12-15,2.2029166666666664
2017-12-16,3.2958333333333329
2017-12-17,2.4725000000000001
2017-12-18,1.6620833333333334
2017-12-19,1.1929166666666666
2017-12-20,1.96
2017-12-21,2.4445833333333336
2017-12-22,1.4720833333333332
2017-12-23,0.86375000000000002
2017-12-24,0.84416666666666673
2017-12-25,1.5620833333333335
2017-12-26,1.6958333333333335
2017-12-27,1.2208333333333334
2017-12-28,1.4933333333333332
2017-12-29,1.25
2017-12-30,1.2224999999999999
2017-12-31,1.1326086956521739
2018-01-01,0.75125000000000008
2018-01-02,1.1683333333333332
2018-01-03,1.4995652173913043
2018-01-04,2.2766666666666668
2018-01-05,1.9329166666666666
2018-01-06,2.1841666666666666
2018-01-07,1.6908333333333332
2018-01-08,1.3841666666666665
2018-01-09,2.6287499999999997
2018-01-10,3.375
2018-01-11,2.2237499999999999
2018-01-12,2.4020833333333331
2018-01-13,2.40625
2018-01-14,1.7137500000000001
2018-01-15,2.4329166666666668
2018-01-16,3.0137499999999999
2018-01-17,2.8524999999999996
2018-01-18,3.3700000000000001
2018-01-19,4.2358333333333329
2018-01-20,3.5050000000000003
2018-01-21,2.5662499999999997
2018-01-22,3.2634782608695652
2018-01-23,2.4270833333333335
2018-01-24,1.6960869565217391
2018-01-25,2.5299999999999998
2018-01-26,3.4541666666666671
2018-01-27,2.1350000000000002
2018-01-28,1.8991666666666667
2018-01-29,1.3591666666666666
2018-01-30,1.2266666666666666
2018-01-31,2.01125
2018-02-01,1.8281818181818181
2018-02-02,1.2108333333333332
2018-02-03,1.1637500000000001
2018-02-04,0.96304347826086956
2018-02-05,1.2279166666666665
2018-02-06,1.8504166666666666
2018-02-07,1.4383333333333332
2018-02-08,0.9668181818181818
2018-02-09,0.82666666666666666
2018-02-10,2.0612499999999998
2018-02-11,1.6091666666666666
2018-02-12,2.46875
2018-02-13,2.0713043478260871
2018-02-14,1.3852173913043477
2018-02-15,1.8804166666666668
2018-02-16,1.7904166666666665
2018-02-17,1.9112499999999999
2018-02-18,2.0282608695652171
2018-02-19,3.1891666666666669
2018-02-20,2.4566666666666666
2018-02-21,1.3700000000000001
2018-02-22,2.0291666666666668
2018-02-23,2.5070833333333336
2018-02-24,1.9213043478260869
2018-02-25,2.0670833333333332
2018-02-26,1.8691666666666666
2018-02-27,3.0620833333333333
2018-02-28,2.249166666666667
2018-03-01,1.8412499999999998
2018-03-02,2.9154166666666668
2018-03-03,2.8633333333333333
2018-03-04,1.7841666666666667
2018-03-05,1.0833333333333333
2018-03-06,1.21
2018-03-07,0.84291666666666665
2018-03-08,1.5245833333333334
2018-03-09,1.8925000000000001
2018-03-10,1.2291666666666667
2018-03-11,0.9145833333333333
2018-03-12,1.10375
2018-03-13,2.1033333333333331
2018-03-14,2.4908695652173911
2018-03-15,2.1070833333333332
2018-03-16,2.0308333333333333
2018-03-17,2.1370833333333334
2018-03-18,1.5552173913043479
2018-03-19,1.0366666666666666
2018-03-20,0.96958333333333335
2018-03-21,2.5854166666666667
2018-03-22,2.3941666666666666
2018-03-23,2.2066666666666666
2018-03-24,2.3845833333333335
2018-03-25,2.4237500000000001
2018-03-26,2.3208333333333333
2018-03-27,1.8108333333333333
2018-03-28,1.7879166666666666
2018-03-29,1.7825
2018-03-30,1.1483333333333332
2018-03-31,1.1533333333333333
2018-04-01,1.3708333333333333
2018-04-02,2.2050000000000001
2018-04-03,1.5204166666666667
2018-04-04,1.0954166666666667
2018-04-05,0.72583333333333344
2018-04-06,1.2308333333333332
2018-04-07,2.0274999999999999
2018-04-08,3.0741666666666667
2018-04-09,2.7837499999999999
2018-04-10,1.4995833333333335
2018-04-11,1.8862500000000002
2018-04-12,2.9495652173913043
2018-04-13,3.3229166666666665
2018-04-14,2.6912500000000001
2018-04-15,2.3774999999999999
2018-04-16,2.4624999999999999
2018-04-17,2.5820833333333333
2018-04-18,1.925
2018-04-19,1.6295833333333334
2018-04-20,2.2629166666666669
2018-04-21,2.2875000000000001
2018-04-22,2.6579166666666665
2018-04-23,2.1099999999999999
2018-04-24,1.4212499999999999
2018-04-25,1.6295833333333334
2018-04-26,1.4358333333333333
2018-04-27,1.39625
2018-04-28,1.5491666666666666
2018-04-29,1.7229166666666667
2018-04-30,2.3254166666666669
2018-05-01,2.5012500000000002
2018-05-02,2.4245833333333331
2018-05-03,1.4243478260869564
2018-05-04,1.0454166666666667
2018-05-05,1.0016666666666667
2018-05-06,0.77958333333333341
2018-05-07,1.0862499999999999
2018-05-08,1.0304166666666668
2018-05-10,2.4099999999999997
2018-05-11,2.8725000000000001
2018-05-12,2.6713043478260867
2018-05-13,1.7804166666666665
2018-05-14,1.3125
2018-05-15,1.2150000000000001
2018-05-16,1.1495833333333334
2018-05-17,1.2183333333333335
2018-05-18,1.5033333333333332
2018-05-19,1.65625
2018-05-20,1.9199999999999999
2018-05-21,2.4554166666666668
2018-05-22,1.9887500000000002
2018-05-23,1.4204166666666669
2018-05-24,1.6312499999999999
2018-05-25,1.4758333333333333
2018-05-26,1.8758333333333335
2018-05-27,1.8058333333333334
2018-05-28,1.7874999999999999
2018-05-29,2.6629166666666664
2018-05-30,3.23875
2018-05-31,2.4033333333333333
2018-06-01,1.4886956521739132
2018-06-02,1.8799999999999999
2018-06-03,2.0883333333333334
2018-06-04,2.3904166666666669
2018-06-05,2.48875
2018-06-06,2.2337500000000001
2018-06-07,1.9395833333333332
2018-06-08,1.6912500000000001
2018-06-09,1.5579166666666666
2018-06-10,2.1404166666666669
2018-06-11,1.8916666666666666
2018-06-12,2.3758333333333335
2018-06-13,2.9466666666666668
2018-06-14,2.6999999999999997
2018-06-15,2.6566666666666667
2018-06-16,2.2454166666666668
2018-06-17,1.9749999999999999
2018-06-18,1.3983333333333334
2018-06-19,1.3583333333333334
2018-06-20,1.3362499999999999
2018-06-21,1.5862499999999999
2018-06-22,1.8633333333333333
2018-06-23,2.1662500000000002
2018-06-24,1.5391666666666666
2018-06-25,1.1133333333333333
2018-06-26,2.2212499999999999
2018-06-27,2.1616666666666666
2018-06-28,2.6120833333333331
2018-06-29,2.4183333333333334
2018-06-30,2.0204166666666667
2018-07-01,1.4924999999999999
2018-07-02,1.4800000000000002
2018-07-03,1.9616666666666667
