day,btc
2014-08-15,21465.223766080067
2014-08-16,16083.166120530814
2014-08-17,14636.978574090552
2014-08-18,40767.305822560935
2014-08-19,24978.635596959895
2014-08-20,30184.616662020147
2014-08-21,18019.551525270323
2014-08-22,11590.703154170136
2014-08-23,10062.029922570255
2014-08-24,5627.4093215400844
2014-08-25,7322.0708217602059
2014-08-26,11257.165410340109
2014-08-27,7706.7797185801801
2014-08-28,5016.9155524500393
2014-08-29,5130.9345128200302
2014-08-30,4190.9365444700607
2014-08-31,15267.839238019851
2014-09-01,8211.9237145301486
2014-09-02,10046.214896580039
2014-09-03,3382.1989270201852
2014-09-04,10077.533242550231
2014-09-05,5171.0213047101288
2014-09-06,1895.7597861400093
2014-09-07,2079.1993925500087
2014-09-08,15855.872246769773
2014-09-09,9376.8325367099569
2014-09-10,8880.8676147598289
2014-09-11,5113.2833976899537
2014-09-12,3458.588729140029
2014-09-13,7980.7910349898375
2014-09-14,3122.5262050800111
2014-09-15,5564.1974346600691
2014-09-16,5830.4157928100722
2014-09-17,10015.799231040108
2014-09-18,40114.679874668152
2014-09-19,33491.47558691146
2014-09-20,30699.103940630201
2014-09-21,19190.669471550569
2014-09-22,9473.6278750801976
2014-09-23,38518.705129538444
2014-09-24,14395.159061070884
2014-09-25,15002.506678830954
2014-09-26,10998.801576850728
2014-09-27,6922.753288250201
2014-09-28,19564.430288749725
2014-09-29,21469.539343469925
2014-09-30,16885.431038890376
2014-10-01,10108.815781930307
2014-10-02,11897.925486790347
2014-10-03,21055.64046413924
2014-10-04,38757.310637168404
2014-10-05,84131.20524165903
2014-10-06,56244.013921986712
2014-10-07,28419.290633538098
2014-10-08,33148.543841667852
2014-10-09,58819.782620651167
2014-10-10,31262.090434579593
2014-10-11,16673.900983770156
2014-10-12,20912.232869699706
2014-10-13,42724.221351110107
2014-10-14,47243.10056507901
2014-10-15,29541.518869869353
2014-10-16,30085.072724018977
2014-10-17,13829.041443230228
2014-10-18,12031.413808260162
2014-10-19,5349.685441540073
2014-10-20,19178.165399470206
2014-10-21,16265.560401390407
2014-10-22,10618.533326600149
2014-10-23,34871.120501789745
2014-10-24,16557.429801750306
2014-10-25,28960.252261229827
2014-10-26,16080.902820280433
2014-10-27,15239.164355260476
2014-10-28,5062.4076443400863
2014-10-29,26472.224862050072
2014-10-30,56553.950485228823
2014-10-31,19727.111557280292
2014-11-01,24974.994092680055
2014-11-02,10099.461131730424
2014-11-03,15218.510549510154
2014-11-04,18823.36977493035
2014-11-05,26963.249642420553
2014-11-06,24873.445797810306
2014-11-07,18854.393887979935
2014-11-08,7334.5318693201034
2014-11-09,37906.63803110001
2014-11-10,33065.336569240295
2014-11-11,9279.6167221799951
2014-11-12,103874.42856319548
2014-11-13,144950.77991595498
2014-11-14,59088.799446089011
2014-11-15,43985.64143381895
2014-11-16,24666.256256220458
2014-11-17,47132.742681307311
2014-11-18,37172.752387999804
2014-11-19,17154.964966180472
2014-11-20,21885.51007140947
2014-11-21,36251.474661818371
2014-11-22,15563.571330210358
2014-11-23,14133.607687220241
2014-11-24,42068.510183139319
2014-11-25,27192.892779440255
2014-11-26,21003.08260888053
2014-11-27,7049.5336217701515
2014-11-28,30530.313167318352
2014-11-29,20412.505709120269
2014-11-30,14311.374546618474
2014-12-01,11947.41516531072
2014-12-02,11192.7890283902
2014-12-03,14324.210721080322
2014-12-04,13242.281198050205
2014-12-05,17780.492882020069
2014-12-06,9095.0778237701652
2014-12-07,4911.2729799800072
2014-12-08,18445.056077020006
2014-12-09,35819.342129038967
2014-12-10,12333.090576300157
2014-12-11,34756.887394509031
2014-12-12,11747.111054330104
2014-12-13,10150.790796680078
2014-12-14,9209.6482754402314
2014-12-15,11205.540230630173
2014-12-16,31193.948885729547
2014-12-17,37507.492625709208
2014-12-18,48437.463248568958
2014-12-19,23129.508104159137
2014-12-20,20230.002275809715
2014-12-21,15844.331485380389
2014-12-22,20417.863025660114
2014-12-23,11857.415248550273
2014-12-24,13880.724854990272
2014-12-25,7461.2441978501056
2014-12-26,14115.504081750149
2014-12-27,17451.100346490071
2014-12-28,9755.0187901600857
2014-12-29,8180.8479424200759
2014-12-30,10131.579843701316
2014-12-31,11799.342694060204
2015-01-01,5178.7675465100547
2015-01-02,3834.5440082900136
2015-01-03,47448.896098659774
2015-01-04,81205.726898188484
2015-01-05,50869.734678000066
2015-01-06,36115.590289049142
2015-01-07,31046.894169069434
2015-01-08,32664.981656278458
2015-01-09,28829.158753548847
2015-01-10,25031.954628548971
2015-01-11,22815.024622149671
2015-01-12,21418.479958429914
2015-01-13,150459.10194833108
2015-01-14,269565.29979511973
2015-01-15,184371.65353224138
2015-01-16,80331.465189549897
2015-01-17,48913.365122199648
2015-01-18,65568.729560049338
2015-01-19,32438.305494009062
2015-01-20,52169.964499518872
2015-01-21,57794.885980290528
2015-01-22,57343.014383338748
2015-01-23,40153.102217938147
2015-01-24,40097.042593949125
2015-01-25,54049.081403040575
2015-01-26,205992.02467918044
2015-01-27,81712.867148021061
2015-01-28,87045.980632159626
2015-01-29,60109.920911679721
2015-01-30,51257.891705949194
2015-01-31,48929.510910269652
2015-02-01,55663.955983817759
2015-02-02,52340.343504079232
2015-02-03,81380.303672409951
2015-02-04,44328.278832019489
2015-02-05,37869.959244519858
2015-02-06,35652.279229329477
2015-02-07,35471.836773729352
2015-02-08,26127.263547319413
2015-02-09,48175.348356920462
2015-02-10,29287.584844148569
2015-02-11,19279.645342390108
2015-02-12,19995.209751340011
2015-02-13,68319.495659441265
2015-02-14,80559.730174170822
2015-02-15,103145.29817953047
2015-02-16,47236.522335650559
2015-02-17,40898.785943849376
2015-02-18,39347.859426770461
2015-02-19,23847.937335879931
2015-02-20,31341.127210038554
2015-02-21,16187.366900330353
2015-02-22,33576.501061079478
2015-02-23,23852.271317409981
2015-02-24,16615.814560590126
2015-02-25,13529.62773046994
2015-02-26,18687.246865810048
2015-02-27,69855.133294370098
2015-02-28,17286.145573950154
2015-03-01,47597.424668190695
2015-03-02,67168.440497879914
2015-03-03,81226.398296860149
2015-03-04,71521.587765929507
2015-03-05,66108.884633912137
2015-03-06,40276.571969850367
2015-03-07,22856.94560365982
2015-03-08,13853.794890260098
2015-03-09,62908.377680121535
2015-03-10,67389.782194500018
2015-03-11,25811.471790389642
2015-03-12,27275.117559379472
2015-03-13,46670.674821550019
2015-03-14,23011.197460899893
2015-03-15,13427.56794899032
2015-03-16,22313.424618658897
2015-03-17,22235.369854520162
2015-03-18,89923.415728299253
2015-03-19,78451.537175719932
2015-03-20,16197.477967690093
2015-03-21,15082.649219000163
2015-03-22,18263.490755229977
2015-03-23,23532.384930219596
2015-03-24,64117.869871471376
2015-03-25,53254.531781511141
2015-03-26,33260.968412609131
2015-03-27,22731.111935799636
2015-03-28,17724.687732370221
2015-03-29,31825.768349268736
2015-03-30,30725.359919839062
2015-03-31,22340.601946700015
2015-04-01,23555.269575339462
2015-04-02,26215.543104229939
2015-04-03,28294.992817099588
2015-04-04,9458.9965588800824
2015-04-05,23998.874494599957
2015-04-06,20821.287882050034
2015-04-07,10602.252119890058
2015-04-08,39627.091426250045
2015-04-09,22642.235553089664
2015-04-10,37332.556956169996
2015-04-11,17745.943558390147
2015-04-12,10100.95286180002
2015-04-13,47137.094011980167
2015-04-14,40768.830031819598
2015-04-15,24034.524606740011
2015-04-16,28949.227537569797
2015-04-17,27060.860746099916
2015-04-18,11898.008681010037
2015-04-19,17571.785468450107
2015-04-20,19932.048065849878
2015-04-21,31768.4230911101
2015-04-22,22065.589151879831
2015-04-23,8848.9212082400481
2015-04-24,22481.38342875968
2015-04-25,13390.728758350093
2015-04-26,40909.656498319404
2015-04-27,35237.995322639828
2015-04-28,17189.697328670067
2015-04-29,12204.237091900035
2015-04-30,41361.857755640049
2015-05-01,17016.639858930033
2015-05-02,8932.2005818699945
2015-05-03,19159.47837938006
2015-05-04,24658.093285310017
2015-05-05,26115.907707628732
2015-05-06,47524.997165689558
2015-05-07,27216.127117779371
2015-05-08,31065.29966056905
2015-05-09,19372.31104584986
2015-05-10,11933.406653510014
2015-05-11,15989.07724903009
2015-05-12,13639.32470388002
2015-05-13,27912.305639229882
2015-05-14,19130.363731680005
2015-05-15,9526.7522974300191
2015-05-16,6100.3628713900152
2015-05-17,4806.5601557400105
2015-05-18,14181.5302039301
2015-05-19,5868.6614013700346
2015-05-20,11419.180367010047
2015-05-21,10508.630814800021
2015-05-22,22839.333697769962
2015-05-23,8514.0382773799956
2015-05-24,7277.2770844400093
2015-05-25,8684.7202518801096
2015-05-26,8818.4872236300689
2015-05-27,9190.040450760016
2015-05-28,5791.2187079000605
2015-05-29,6839.5288437001318
2015-05-30,14770.990402600084
2015-05-31,11657.274491800103
2015-06-01,31722.403628330067
2015-06-02,16451.171963919969
2015-06-03,17205.463689260021
2015-06-04,11211.322435400063
2015-06-05,17603.334919230067
2015-06-06,6830.9759834600063
2015-06-07,17255.895481479907
2015-06-08,28828.662382480034
2015-06-09,16389.232689510161
2015-06-10,10773.512622760145
2015-06-11,9540.2237461602053
2015-06-12,9752.0340784700402
2015-06-13,11058.627095090042
2015-06-14,8262.1110965900625
2015-06-15,19153.661362609928
2015-06-16,50864.758323821385
2015-06-17,47507.56832004957
2015-06-18,27557.794017728993
2015-06-19,23929.355700239892
2015-06-20,23906.500214340213
2015-06-21,8170.8617700200884
2015-06-22,18508.526558200188
2015-06-23,11550.643655440168
2015-06-24,15567.444066280133
2015-06-25,8703.1761925000374
2015-06-26,10163.370705500007
2015-06-27,18134.806469989926
2015-06-28,12904.130852380094
2015-06-29,34766.031629739715
2015-06-30,47278.289151019962
2015-07-01,21543.001319619441
2015-07-02,17333.698292820009
2015-07-03,11646.455995540096
2015-07-04,9650.0091471100623
2015-07-05,47847.85650460032
2015-07-06,56663.3721803999
2015-07-07,22261.540925069981
2015-07-08,35178.247622910247
2015-07-09,24012.137251439042
2015-07-10,89653.523054064121
2015-07-11,39246.40431142952
2015-07-12,60434.984018220086
2015-07-13,74185.049059339537
2015-07-14,23532.186159998575
2015-07-15,21724.733369890102
2015-07-16,52862.423272790096
2015-07-17,25360.43591806015
2015-07-18,15393.905198210057
2015-07-19,8015.1164459100946
2015-07-20,12344.241550540044
2015-07-21,13041.150582520073
2015-07-22,10965.624960059999
2015-07-23,5434.124773480029
2015-07-24,24289.517135709746
2015-07-25,11608.530055539837
2015-07-26,9326.277816540196
2015-07-27,25470.112077449066
2015-07-28,14363.192703519951
2015-07-29,15838.214410380182
2015-07-30,12138.697133409993
2015-07-31,14587.8217347302
2015-08-01,12322.367910250034
2015-08-02,11744.262928719965
2015-08-03,14793.628732140123
2015-08-04,11989.287824000141
2015-08-05,8849.6322467000482
2015-08-06,8941.0900987800942
2015-08-07,12711.187081310019
2015-08-08,36959.897057729511
2015-08-09,20867.962251439803
2015-08-10,10783.260243750194
2015-08-11,12654.873808700137
2015-08-12,16300.516077370432
2015-08-13,12871.172744460429
2015-08-14,13586.587360540125
2015-08-15,10398.48328344014
2015-08-16,27231.341181199587
2015-08-17,9940.9193996200411
2015-08-18,88032.399341470751
2015-08-19,78315.069808009619
2015-08-20,26308.870332289764
2015-08-21,13064.183583590358
2015-08-22,20895.613416809767
2015-08-23,12119.383893260059
2015-08-24,53295.407937500342
2015-08-25,69277.665173739544
2015-08-26,23772.395953610114
2015-08-27,11742.600585420649
2015-08-28,27328.703368359187
2015-08-29,10072.007419020252
2015-08-30,8821.0119650800098
2015-08-31,10923.583399070125
2015-09-01,9810.6118273301145
2015-09-02,9011.8564672500979
2015-09-03,6915.7096710400347
2015-09-04,10799.598315180154
2015-09-05,12199.230294300191
2015-09-06,20519.614031039502
2015-09-07,6949.4411577900746
2015-09-08,16374.811754580382
2015-09-09,14351.385263530119
2015-09-10,10791.492806040324
2015-09-11,10243.492035090077
2015-09-12,9280.9429152101366
2015-09-13,10215.583029140076
2015-09-14,9416.990722880053
2015-09-15,7621.5281250700364
2015-09-16,8185.3535561701447
2015-09-17,12037.789945620074
2015-09-18,9007.7725525901242
2015-09-19,4329.1572734200145
2015-09-20,3457.17417392999
2015-09-21,9274.0798529800704
2015-09-22,18854.936608829947
2015-09-23,5720.2754746500177
2015-09-24,15377.240966720165
