day,cfs
2017-04-11,17200
2017-04-12,15000
2017-04-13,13100
2017-04-14,11500
2017-04-15,10100
2017-04-16,8950
2017-04-17,8200
2017-04-18,7840
2017-04-19,7540
2017-04-20,7520
2017-04-21,7380
2017-04-22,8670
2017-04-23,8590
2017-04-24,8260
2017-04-25,8450
2017-04-26,8890
2017-04-27,13200
2017-04-28,20600
2017-04-29,19100
2017-04-30,15700
2017-05-01,13600
2017-05-02,13300
2017-05-03,13300
2017-05-04,12000
2017-05-05,15200
2017-05-06,39200
2017-05-07,75700
2017-05-08,53700
2017-05-09,35700
2017-05-10,26300
2017-05-11,22300
2017-05-12,24000
2017-05-13,35400
2017-05-14,42000
2017-05-15,45000
2017-05-16,35000
2017-05-17,26700
2017-05-18,21400
2017-05-19,18400
2017-05-20,15200
2017-05-21,12300
2017-05-22,11000
2017-05-23,9960
2017-05-24,9300
2017-05-25,11100
2017-05-26,18900
2017-05-27,36700
2017-05-28,37700
2017-05-29,26900
2017-05-30,23300
2017-05-31,26200
2017-06-01,24300
2017-06-02,19300
2017-06-03,15400
2017-06-04,12600
2017-06-05,10700
2017-06-06,9580
2017-06-07,8520
2017-06-08,7790
2017-06-09,7360
2017-06-10,6780
2017-06-11,6370
2017-06-12,5790
2017-06-13,5360
2017-06-14,4960
2017-06-15,4630
2017-06-16,4320
2017-06-17,4060
2017-06-18,4100
2017-06-19,6400
2017-06-20,9550
2017-06-21,7040
2017-06-22,6070
2017-06-23,5540
2017-06-24,5260
2017-06-25,5130
2017-06-26,7080
2017-06-27,7900
2017-06-28,5980
2017-06-29,4950
2017-06-30,4190
2017-07-01,3870
2017-07-02,3910
2017-07-03,3690
2017-07-04,3360
2017-07-05,3210
2017-07-06,4940
2017-07-07,9420
2017-07-08,7870
2017-07-09,8680
2017-07-10,7130
2017-07-11,5620
2017-07-12,4640
2017-07-13,4140
2017-07-14,4070
2017-07-15,4580
2017-07-16,3790
2017-07-17,3280
2017-07-18,3460
2017-07-19,3270
2017-07-20,2890
2017-07-21,2720
2017-07-22,3040
2017-07-23,3450
2017-07-24,5140
2017-07-25,4080
2017-07-26,4240
2017-07-27,3730
2017-07-28,4790
2017-07-29,16600
2017-07-30,18000
2017-07-31,16800
2017-08-01,19900
2017-08-02,13700
2017-08-03,10300
2017-08-04,8660
2017-08-05,7340
2017-08-06,7810
2017-08-07,11500
2017-08-08,8140
2017-08-09,6700
2017-08-10,6640
2017-08-11,6620
2017-08-12,8160
2017-08-13,9150
2017-08-14,7070
2017-08-15,6170
2017-08-16,5540
2017-08-17,4740
2017-08-18,4310
2017-08-19,5090
2017-08-20,4210
2017-08-21,3740
2017-08-22,3420
2017-08-23,3220
2017-08-24,2970
2017-08-25,2950
2017-08-26,2800
2017-08-27,2680
2017-08-28,2570
2017-08-29,2630
2017-08-30,2800
2017-08-31,2790
2017-09-01,2690
2017-09-02,2860
2017-09-03,2820
2017-09-04,2600
2017-09-05,2430
2017-09-06,3920
2017-09-07,5150
2017-09-08,4700
2017-09-09,4240
2017-09-10,3570
2017-09-11,3060
2017-09-12,2800
2017-09-13,2540
2017-09-14,2490
2017-09-15,2380
2017-09-16,2270
2017-09-17,2190
2017-09-18,1940
2017-09-19,1960
2017-09-20,1950
2017-09-21,2000
2017-09-22,2090
2017-09-23,1890
2017-09-24,1760
