day,trips
2018-07-23,7918
2018-07-24,8956
2018-07-25,8094
2018-07-26,7487
2018-07-27,9096
2018-07-28,7558
2018-07-29,7718
2018-07-30,9356
2018-07-31,9865
2018-08-01,9427
2018-08-02,8765
2018-08-03,8330
2018-08-04,5072
2018-08-05,7120
2018-08-06,8057
2018-08-07,8473
2018-08-08,7596
2018-08-09,8500
2018-08-10,8781
2018-08-11,3207
2018-08-12,3716
2018-08-13,6034
2018-08-14,8077
2018-08-15,8811
2018-08-16,8550
2018-08-17,7552
2018-08-18,5066
2018-08-19,6864
2018-08-20,8616
2018-08-21,8979
2018-08-22,6598
2018-08-23,9048
2018-08-24,8536
2018-08-25,7429
2018-08-26,7009
2018-08-27,8182
2018-08-28,8311
2018-08-29,7939
2018-08-30,8698
2018-08-31,8733
2018-09-01,6762
2018-09-02,7729
2018-09-03,6862
2018-09-04,9385
2018-09-05,9603
2018-09-06,7549
2018-09-07,9720
2018-09-08,7559
2018-09-09,6534
2018-09-10,5962
2018-09-11,8349
2018-09-12,7400
2018-09-13,9208
2018-09-14,9975
2018-09-15,8187
2018-09-16,7972
2018-09-17,9377
2018-09-18,5996
2018-09-19,8466
2018-09-20,9193
2018-09-21,9507
2018-09-22,7889
2018-09-23,6665
2018-09-24,7763
2018-09-25,4064
2018-09-26,8727
2018-09-27,9096
2018-09-28,5674
2018-09-29,7694
2018-09-30,7315
2018-10-01,6685
2018-10-02,4894
2018-10-03,7937
2018-10-04,8830
2018-10-05,8682
2018-10-06,6729
2018-10-07,5652
2018-10-08,5512
2018-10-09,8874
2018-10-10,9474
2018-10-11,5725
2018-10-12,7248
2018-10-13,4024
2018-10-14,5794
2018-10-15,7163
2018-10-16,7925
2018-10-17,7688
2018-10-18,6495
2018-10-19,7580
2018-10-20,6916
2018-10-21,4119
2018-10-22,6436
2018-10-23,5833
2018-10-24,6340
2018-10-25,6740
2018-10-26,6473
2018-10-27,760
2018-10-28,4126
2018-10-29,5164
2018-10-30,6838
2018-10-31,7444
2018-11-01,7099
2018-11-02,6288
2018-11-03,3250
2018-11-04,4789
2018-11-05,5076
2018-11-06,4506
2018-11-07,7717
2018-11-08,7071
2018-11-09,5340
2018-11-10,3117
2018-11-11,3216
2018-11-12,5209
2018-11-13,3316
2018-11-14,4841
2018-11-15,4504
2018-11-16,2880
2018-11-17,3557
2018-11-18,3001
2018-11-19,3442
2018-11-20,2281
2018-11-21,3246
2018-11-22,555
2018-11-23,1259
2018-11-24,1937
2018-11-25,1629
2018-11-26,3286
2018-11-27,4496
2018-11-28,4994
2018-11-29,4805
2018-11-30,4712
2018-12-01,3208
2018-12-02,1448
2018-12-03,5128
2018-12-04,4386
2018-12-05,4190
2018-12-06,4311
2018-12-07,3987
2018-12-08,1979
2018-12-09,1855
2018-12-10,3934
2018-12-11,4158
2018-12-12,4038
2018-12-13,3873
2018-12-14,4183
2018-12-15,2829
2018-12-16,1501
2018-12-17,3376
2018-12-18,2952
2018-12-19,3476
2018-12-20,3798
2018-12-21,1298
2018-12-22,1538
2018-12-23,1064
2018-12-24,979
2018-12-25,600
2018-12-26,1315
2018-12-27,1687
2018-12-28,871
2018-12-29,1504
2018-12-30,951
2018-12-31,1544
