day,mw
2017-04-14,27447.708333333332
2017-04-15,24126.25
2017-04-16,25276.0625
2017-04-17,27024.375
2017-04-18,29554.708333333332
2017-04-19,30432.145833333332
2017-04-20,30869.979166666668
2017-04-21,29885.354166666668
2017-04-22,26371.375
2017-04-23,25430.625
2017-04-24,29843.291666666668
2017-04-25,30184.6875
2017-04-26,31755.9375
2017-04-27,32307.625
2017-04-28,31658.5625
2017-04-29,26913.895833333332
2017-04-30,24062.666666666668
2017-05-01,26480.5
2017-05-02,30069.9375
2017-05-03,29926.833333333332
2017-05-04,28602.1875
2017-05-05,27466
2017-05-06,26544.270833333332
2017-05-07,25162.270833333332
2017-05-08,29161.1875
2017-05-09,30757.75
2017-05-10,29139.25
2017-05-11,29156.916666666668
2017-05-12,29943.083333333332
2017-05-13,24815.333333333332
2017-05-14,23397.291666666668
2017-05-15,29094.708333333332
2017-05-16,28865.25
2017-05-17,31366.1875
2017-05-18,29657.354166666668
2017-05-19,29543.145833333332
2017-05-20,25413.6875
2017-05-21,23734.458333333332
2017-05-22,27475.104166666668
2017-05-23,29059.645833333332
2017-05-24,28485.5625
2017-05-25,28145.145833333332
2017-05-26,26332.541666666668
2017-05-27,23917.541666666668
2017-05-28,22874.9375
2017-05-29,25884.354166666668
2017-05-30,27396.229166666668
2017-05-31,27856.229166666668
2017-06-01,26713.166666666668
2017-06-02,28225.8125
2017-06-03,23393.104166666668
2017-06-04,22843.645833333332
2017-06-05,27734.416666666668
2017-06-06,27425.25
2017-06-07,25984.354166666668
2017-06-08,28045.354166666668
2017-06-09,26741.583333333332
2017-06-10,23394.625
2017-06-11,21257.9375
2017-06-12,25968.8125
2017-06-13,28214.833333333332
2017-06-14,27636.0625
2017-06-15,26203.291666666668
2017-06-16,26367.229166666668
2017-06-17,23415.6875
2017-06-18,23288.5
2017-06-19,28516.875
2017-06-20,28913.979166666668
2017-06-21,28962.229166666668
2017-06-22,28901.4375
2017-06-23,26242.708333333332
2017-06-24,23101.604166666668
2017-06-25,22612.75
2017-06-26,27452.708333333332
2017-06-27,28986.145833333332
2017-06-28,28955.333333333332
2017-06-29,28758.520833333332
2017-06-30,28251.270833333332
2017-07-01,23268.4375
2017-07-02,21747.645833333332
2017-07-03,27092.291666666668
2017-07-04,28868.166666666668
2017-07-05,28264.3125
2017-07-06,28898.979166666668
2017-07-07,28299.0625
2017-07-08,24004.3125
2017-07-09,23767.770833333332
2017-07-10,28537.395833333332
2017-07-11,29847.916666666668
2017-07-12,27736.4375
2017-07-13,27594.979166666668
2017-07-14,26500.8125
2017-07-15,24135.041666666668
2017-07-16,23625.375
2017-07-17,26593.541666666668
2017-07-18,27563.395833333332
2017-07-19,28851.708333333332
2017-07-20,27591.208333333332
2017-07-21,26729.020833333332
2017-07-22,24288.1875
2017-07-23,23820.25
2017-07-24,26795.333333333332
2017-07-25,27749.895833333332
2017-07-26,27290.916666666668
2017-07-27,26362.3125
2017-07-28,25953.104166666668
2017-07-29,23695.666666666668
2017-07-30,22574.145833333332
2017-07-31,25860.145833333332
2017-08-01,26533.8125
2017-08-02,27562.041666666668
2017-08-03,25832.666666666668
2017-08-04,25159.708333333332
2017-08-05,23267
2017-08-06,22412.125
2017-08-07,27170.208333333332
2017-08-08,28414.833333333332
2017-08-09,27516.479166666668
2017-08-10,26803.625
2017-08-11,26203.75
2017-08-12,23851.729166666668
2017-08-13,23075.208333333332
2017-08-14,27385.708333333332
2017-08-15,26883.875
2017-08-16,26689.291666666668
2017-08-17,27018.9375
2017-08-18,25582.708333333332
2017-08-19,21928.1875
2017-08-20,23733.666666666668
2017-08-21,28877.3125
2017-08-22,29000.458333333332
2017-08-23,28456.75
2017-08-24,27806.104166666668
2017-08-25,27212.520833333332
2017-08-26,24348.895833333332
2017-08-27,22769.166666666668
2017-08-28,23061
2017-08-29,28338.416666666668
2017-08-30,28938.020833333332
2017-08-31,28436.9375
2017-09-01,27388.479166666668
2017-09-02,24246.125
2017-09-03,24154.5625
2017-09-04,29222.5625
2017-09-05,29442.9375
2017-09-06,28008.666666666668
2017-09-07,28759.166666666668
2017-09-08,27912.145833333332
2017-09-09,25067.854166666668
2017-09-10,24225.208333333332
2017-09-11,26695.875
2017-09-12,27700.6875
2017-09-13,27567.895833333332
2017-09-14,28385.625
2017-09-15,29004.479166666668
2017-09-16,26657.166666666668
2017-09-17,26207.270833333332
2017-09-18,30285.583333333332
2017-09-19,30321.3125
2017-09-20,30137.104166666668
2017-09-21,30278.041666666668
2017-09-22,28856.125
2017-09-23,25757.1875
2017-09-24,25490.520833333332
2017-09-25,31026.770833333332
2017-09-26,30710.104166666668
2017-09-27,29829.4375
2017-09-28,29730.25
2017-09-29,29308.5
2017-09-30,26953.625
2017-10-01,25476.895833333332
2017-10-02,27444.791666666668
2017-10-03,28836.875
2017-10-04,29939.458333333332
2017-10-05,28481
2017-10-06,29944.791666666668
2017-10-07,26496.916666666668
2017-10-08,27215.75
2017-10-09,31261.604166666668
2017-10-10,29810.833333333332
2017-10-11,29415.166666666668
2017-10-12,29504.625
2017-10-13,28702.5625
2017-10-14,26406.354166666668
2017-10-15,25317.25
2017-10-16,29600.979166666668
2017-10-17,29673.5
2017-10-18,32766.4375
2017-10-19,32257.1875
2017-10-20,30594.666666666668
2017-10-21,25780.145833333332
2017-10-22,25261.0625
2017-10-23,31914.645833333332
2017-10-24,30984.520833333332
2017-10-25,29922.75
2017-10-26,32177.104166666668
2017-10-27,30473.708333333332
2017-10-28,26150.229166666668
2017-10-29,26643.240000000002
2017-10-30,33384.708333333336
2017-10-31,32873.5
2017-11-01,32617.041666666668
2017-11-02,34313.0625
2017-11-03,33384.5625
2017-11-04,29400.125
2017-11-05,28826.520833333332
2017-11-06,33980.3125
2017-11-07,34562.666666666664
2017-11-08,34990.020833333336
2017-11-09,34211.4375
2017-11-10,32068.208333333332
2017-11-11,31781.479166666668
2017-11-12,29227.3125
2017-11-13,36514.375
2017-11-14,36233.833333333336
2017-11-15,36060.729166666664
