day,points
2018-05-23,5408
2018-05-24,3700
2018-05-25,4387
2018-05-26,3742
2018-05-27,3251
2018-05-28,4400
2018-05-29,2838
2018-05-30,2875
2018-05-31,3009
2018-06-01,2836
2018-06-02,5056
2018-06-03,2773
2018-06-04,5000
2018-06-05,4364
2018-06-06,3253
2018-06-07,3673
2018-06-08,4268
2018-06-09,1690
2018-06-10,4001
2018-06-11,4848
2018-06-12,5219
2018-06-13,5451
2018-06-14,2489
2018-06-15,2860
2018-06-16,1537
2018-06-17,587
2018-06-18,2833
2018-06-19,3095
2018-06-20,2539
2018-06-21,2732
2018-06-22,2878
2018-06-23,3934
2018-06-24,4461
2018-06-25,3529
2018-06-26,2407
2018-06-27,3576
2018-06-28,3105
2018-06-29,4029
2018-06-30,3712
2018-07-01,4214
2018-07-02,3168
2018-07-03,6584
2018-07-04,3889
2018-07-05,7239
2018-07-06,3860
2018-07-07,2492
2018-07-08,7022
2018-07-09,3341
2018-07-10,3516
2018-07-11,2576
2018-07-12,2234
2018-07-13,1003
2018-07-14,1548
2018-07-15,2079
2018-07-16,2436
2018-07-17,2990
2018-07-18,1929
2018-07-19,3280
2018-07-20,4632
2018-07-21,3370
2018-07-22,3726
2018-07-23,3747
2018-07-24,4746
2018-07-25,6284
2018-07-26,4719
2018-07-27,7447
2018-07-28,10460
2018-07-29,13486
2018-07-30,11455
2018-07-31,9014
2018-08-01,6487
2018-08-02,8935
2018-08-03,10472
2018-08-04,9912
2018-08-05,10653
2018-08-06,8571
2018-08-07,10515
2018-08-08,7795
2018-08-09,9505
2018-08-10,8143
2018-08-11,6395
2018-08-12,5670
2018-08-13,7896
2018-08-14,7280
2018-08-15,8089
2018-08-16,8467
2018-08-17,6589
2018-08-18,9571
2018-08-19,7975
2018-08-20,7107
2018-08-21,8029
2018-08-22,14215
2018-08-23,13239
2018-08-24,9562
2018-08-25,8071
2018-08-26,3477
2018-08-27,4667
2018-08-28,6998
2018-08-29,4365
2018-08-30,3256
2018-08-31,3538
2018-09-01,4417
2018-09-02,2710
2018-09-03,2398
2018-09-04,3565
2018-09-05,2498
2018-09-06,2570
2018-09-07,2407
2018-09-08,2457
2018-09-09,1416
2018-09-10,1969
2018-09-11,1471
2018-09-12,1939
2018-09-13,6267
2018-09-14,6647
2018-09-15,5469
2018-09-16,5670
2018-09-17,5322
2018-09-18,6866
2018-09-19,8688
2018-09-20,7529
2018-09-21,3403
2018-09-22,2688
2018-09-23,1569
2018-09-24,1602
2018-09-25,2662
2018-09-26,2128
2018-09-27,3453
2018-09-28,3350
2018-09-29,1151
2018-09-30,2201
2018-10-01,846
2018-10-02,463
2018-10-03,3074
2018-10-04,4146
2018-10-05,4455
2018-10-06,2897
2018-10-07,947
2018-10-08,2182
2018-10-09,1702
2018-10-10,1062
2018-10-11,2195
2018-10-12,1945
2018-10-13,2240
2018-10-14,1763
2018-10-15,2278
2018-10-16,2068
2018-10-17,2900
2018-10-18,6404
2018-10-19,2697
2018-10-20,2380
2018-10-21,3907
2018-10-22,5159
2018-10-23,5318
2018-10-24,9176
2018-10-25,3507
2018-10-26,3461
2018-10-27,4662
2018-10-28,3741
2018-10-29,7957
2018-10-30,10011
2018-10-31,8430
2018-11-01,2554
2018-11-02,3562
2018-11-03,1524
2018-11-04,1455
2018-11-05,2677
2018-11-06,3649
2018-11-07,5461
2018-11-08,8334
2018-11-09,12478
2018-11-10,6056
2018-11-11,5334
2018-11-12,6036
2018-11-13,5107
2018-11-14,4815
2018-11-15,3041
2018-11-16,4109
2018-11-17,2617
2018-11-18,2460
2018-11-19,2917
2018-11-20,3815
2018-11-21,4658
2018-11-22,3111
2018-11-23,2245
2018-11-24,3816
2018-11-25,2562
2018-11-26,3585
2018-11-27,4567
2018-11-28,4708
2018-11-29,4418
2018-11-30,4885
2018-12-01,2935
2018-12-02,3745
2018-12-03,4685
2018-12-04,5259
2018-12-05,6284
2018-12-06,5330
2018-12-07,5311
2018-12-08,3247
2018-12-09,2404
2018-12-10,4813
2018-12-11,3841
2018-12-12,5005
2018-12-13,2111
2018-12-14,3954
2018-12-15,4176
2018-12-16,4087
2018-12-17,4166
2018-12-18,2795
2018-12-19,5067
2018-12-21,4903
2018-12-22,4979
2018-12-23,5110
2018-12-24,3505
2018-12-25,1782
2018-12-26,5444
2018-12-27,4749
2018-12-28,3224
2018-12-29,5014
2018-12-31,2540
