day,wbtc
2020-01-25,623.6194800000
2020-01-26,623.6194800000
2020-01-27,623.6194800000
2020-01-28,621.8274800000
2020-01-29,621.8274800000
2020-01-30,621.8274800000
2020-01-31,621.8274800000
2020-02-01,621.8274800000
2020-02-02,621.8274800000
2020-02-03,621.8274800000
2020-02-04,621.8274800000
2020-02-05,621.8274800000
2020-02-06,696.7684800000
2020-02-07,696.7684800000
2020-02-08,696.7684800000
2020-02-09,696.7684800000
2020-02-10,696.7684800000
2020-02-11,696.7684800000
2020-02-12,696.7684800000
2020-02-13,761.7164800000
2020-02-14,761.7164800000
2020-02-15,761.7164800000
2020-02-16,766.7064800000
2020-02-17,766.7064800000
2020-02-18,826.6514800000
2020-02-19,826.6514800000
2020-02-20,887.6087800000
2020-02-21,887.6087800000
2020-02-22,887.6087800000
2020-02-23,887.6087800000
2020-02-24,887.6087800000
2020-02-25,887.6087800000
2020-02-26,887.6087800000
2020-02-27,887.6087800000
2020-02-28,888.0170400000
2020-02-29,888.0170400000
2020-03-01,888.0170400000
2020-03-02,888.0170400000
2020-03-03,888.0170400000
2020-03-04,888.0170400000
2020-03-05,888.0170400000
2020-03-06,884.5760300000
2020-03-07,884.5760300000
2020-03-08,884.5760300000
2020-03-09,884.5760300000
2020-03-10,884.5760300000
2020-03-11,889.6658300000
2020-03-12,889.6658300000
2020-03-13,889.6658300000
2020-03-14,889.6658300000
2020-03-15,889.6658300000
2020-03-16,889.6658300000
2020-03-17,889.6658300000
2020-03-18,889.6658300000
2020-03-19,889.6658300000
2020-03-20,889.6658300000
2020-03-21,949.6238300000
2020-03-22,949.6238300000
2020-03-23,949.6238300000
2020-03-24,949.6238300000
2020-03-25,949.6238300000
2020-03-26,954.6138300000
2020-03-27,954.6138300000
2020-03-28,954.6138300000
2020-03-29,954.6138300000
2020-03-30,954.6138300000
2020-03-31,954.6138300000
2020-04-01,975.6138300000
2020-04-02,985.5938300000
2020-04-03,985.5938300000
2020-04-04,985.5938300000
2020-04-05,985.5938300000
2020-04-06,985.5938300000
2020-04-07,985.5938300000
2020-04-08,1040.5553300000
2020-04-09,1040.5553300000
2020-04-10,1040.5553300000
2020-04-11,1055.5253300000
2020-04-12,1055.5253300000
2020-04-13,1055.5253300000
2020-04-14,1070.4953300000
2020-04-15,1070.4953300000
2020-04-16,1070.4953300000
2020-04-17,1070.4953300000
2020-04-18,1070.4953300000
2020-04-19,1070.4953300000
2020-04-20,1070.4953300000
2020-04-21,1070.4953300000
2020-04-22,1070.4953300000
2020-04-23,1070.4953300000
2020-04-24,1070.4953300000
2020-04-25,1070.4953300000
2020-04-26,1070.4953300000
2020-04-27,1070.4953300000
2020-04-28,1070.4953300000
2020-04-29,1125.4568300000
2020-04-30,1125.4568300000
2020-05-01,1125.4568300000
2020-05-02,1125.4568300000
2020-05-03,1125.4568300000
2020-05-04,1125.4568300000
2020-05-05,1125.4568300000
2020-05-06,1125.4568300000
2020-05-07,1125.4568300000
2020-05-08,1242.4043300000
2020-05-09,1297.3658300000
2020-05-10,1297.3658300000
2020-05-11,1297.3658300000
2020-05-12,1297.3658300000
2020-05-13,2296.9658300000
2020-05-14,2296.9658300000
2020-05-15,2296.9658300000
2020-05-16,2296.9658300000
2020-05-17,2296.9658300000
2020-05-18,2296.9658300000
2020-05-19,2296.9658300000
2020-05-20,2296.9658300000
2020-05-21,2296.9658300000
2020-05-22,3796.3658300000
2020-05-23,3851.3273300000
2020-05-24,3851.3273300000
2020-05-25,3851.3273300000
2020-05-26,3851.3273300000
2020-05-27,3851.3273300000
2020-05-28,3851.3273300000
2020-05-29,3851.3273300000
2020-05-30,3851.3273300000
2020-05-31,3851.3273300000
2020-06-01,3851.3273300000
2020-06-02,3911.2853300000
2020-06-03,3911.2853300000
2020-06-04,3911.2853300000
2020-06-05,3911.2853300000
2020-06-06,3966.2468300000
2020-06-07,3966.2468300000
2020-06-08,3966.2468300000
2020-06-09,3966.2468300000
2020-06-10,3966.2468300000
2020-06-11,3966.2468300000
2020-06-12,3966.2468300000
2020-06-13,3966.2468300000
2020-06-14,3966.2468300000
2020-06-15,3966.2468300000
2020-06-16,4031.2013300000
2020-06-17,4095.1565300000
